Metadata,Metadata,Metadata,Overall,Overall,Overall,Overall,Overall,Overall,Overall,Overall,Overall,Angelina,Angelina,Angelina,Angelina,Angelina,Angelina,Angelina,Angelina,Angelina,NaturalScene,NaturalScene,NaturalScene,NaturalScene,NaturalScene,NaturalScene,NaturalScene,NaturalScene,NaturalScene,DSBI,DSBI,DSBI,DSBI,DSBI,DSBI,DSBI,DSBI,DSBI
weights,split,infer_ms,Precision,Recall,F1,mAP50,mAP75,mAP50-95,TP,FP,FN,Precision,Recall,F1,mAP50,mAP75,mAP50-95,TP,FP,FN,Precision,Recall,F1,mAP50,mAP75,mAP50-95,TP,FP,FN,Precision,Recall,F1,mAP50,mAP75,mAP50-95,TP,FP,FN
best.pt,val,10.5,0.9957,0.9928,0.9943,0.9946,0.9772,0.8718,16688,46,231,0.9964,0.9948,0.9956,0.9949,0.9936,0.8931,13505,23,169,0.9819,0.9774,0.9797,0.9931,0.9775,0.8414,826,14,21,0.9928,0.9918,0.9923,0.9948,0.7508,0.6783,2358,8,43
best.pt,test,10.05,0.9782,0.9628,0.9705,0.9826,0.6182,0.5935,48476,1160,1310,0.9462,0.9222,0.934,0.9505,0.0251,0.222,12234,779,322,0.973,0.9602,0.9665,0.9895,0.9769,0.8342,950,29,32,0.9896,0.9811,0.9853,0.9943,0.9515,0.7866,35289,355,954
