epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
32,3523.3,1.12098,0.0699,0.00335,0.98401,0.97968,0.9938,0.8162,0.96295,0.05157,0.00882,0.023862,0.007954,0.023862,0.007954,0.023862,0.007954,0.023862,0.007954
33,3630.17,1.12895,0.07121,0.00326,0.98483,0.9853,0.99413,0.82805,0.94429,0.04943,0.00878,0.023664,0.007888,0.023664,0.007888,0.023664,0.007888,0.023664,0.007888
34,3736.06,1.10811,0.06872,0.00327,0.98021,0.97986,0.99359,0.82848,0.96105,0.05036,0.009,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
35,3841.84,1.0819,0.06592,0.00325,0.98775,0.98536,0.99426,0.82493,0.94423,0.04806,0.00872,0.023268,0.007756,0.023268,0.007756,0.023268,0.007756,0.023268,0.007756
36,3945.29,1.11712,0.06976,0.00352,0.98401,0.98153,0.99417,0.82464,0.95564,0.04703,0.00917,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769
37,4053.39,1.11512,0.07068,0.00319,0.98731,0.98532,0.99447,0.83662,0.93906,0.04726,0.00896,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
38,4158.24,1.086,0.06833,0.00326,0.9829,0.98563,0.99408,0.82241,0.95673,0.04822,0.0088,0.022674,0.007558,0.022674,0.007558,0.022674,0.007558,0.022674,0.007558
39,4264.84,1.07913,0.06469,0.00296,0.98666,0.98529,0.99403,0.83624,0.93334,0.0482,0.00885,0.022476,0.007492,0.022476,0.007492,0.022476,0.007492,0.022476,0.007492
40,4369.47,1.07414,0.06391,0.00311,0.98831,0.98608,0.99427,0.82979,0.95149,0.04758,0.00888,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
41,4476.86,1.08854,0.06515,0.00309,0.98731,0.98539,0.99428,0.82612,0.94308,0.04688,0.00879,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736
42,4579,1.04494,0.06341,0.00337,0.98719,0.9841,0.99394,0.81775,0.96307,0.04756,0.00915,0.021882,0.007294,0.021882,0.007294,0.021882,0.007294,0.021882,0.007294
43,4684.07,1.05025,0.0648,0.00316,0.99111,0.98596,0.99427,0.84391,0.92412,0.04669,0.00883,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
44,4790.04,1.08221,0.06442,0.00306,0.98928,0.98694,0.99412,0.84002,0.92176,0.04545,0.00885,0.021486,0.007162,0.021486,0.007162,0.021486,0.007162,0.021486,0.007162
